Type,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,Mouse,Group
99,186.89,66.05,111.55,0.353,0.592,0.597,9.85,15.04,HUMAN_F01,fertile
99,105.91,51.44,76.72,0.486,0.671,0.724,3.46,18.89,HUMAN_F01,fertile
99,22.92,11.68,17.93,0.51,0.651,0.782,1.28,6.48,HUMAN_F01,fertile
99,2.94,0.62,0.62,0.21,1,0.21,0.61,0.87,HUMAN_F01,fertile
99,88.67,38.68,61.17,0.436,0.632,0.69,3.66,18.49,HUMAN_F01,fertile
99,110.43,53.56,74.53,0.485,0.719,0.675,4.43,18.61,HUMAN_F01,fertile
99,96.48,26.91,61.69,0.279,0.436,0.639,3.04,17.58,HUMAN_F01,fertile
99,77.43,59.78,65.55,0.772,0.912,0.847,3.29,10.98,HUMAN_F01,fertile
99,105.97,58.34,69.63,0.551,0.838,0.657,1.89,22.57,HUMAN_F01,fertile
99,2.44,0.52,0.52,0.212,1,0.212,0.29,0.91,HUMAN_F01,fertile
99,120.2,49.55,93.19,0.412,0.532,0.775,5.16,23.31,HUMAN_F01,fertile
99,23.92,4.21,17.92,0.176,0.235,0.749,2.14,5.23,HUMAN_F01,fertile
99,24.66,2.73,19.07,0.111,0.143,0.773,1.44,8.14,HUMAN_F01,fertile
99,92.4,45.38,78.19,0.491,0.58,0.846,5.3,24.43,HUMAN_F01,fertile
99,18.23,7.9,8.57,0.433,0.922,0.47,1.92,10.38,HUMAN_F01,fertile
99,89.99,41.26,69.4,0.458,0.594,0.771,3.09,22.81,HUMAN_F01,fertile
99,2.17,0.72,0.72,0.331,1,0.331,0.53,0.36,HUMAN_F01,fertile
99,132.08,57.7,94.14,0.437,0.613,0.713,3.69,21.47,HUMAN_F01,fertile
99,109.57,47.43,82.46,0.433,0.575,0.753,1.98,21.2,HUMAN_F01,fertile
99,0.44,0.26,0.26,0.597,1,0.597,0.45,0.63,HUMAN_F01,fertile
99,87.7,29.34,49.64,0.335,0.591,0.566,4.08,18.9,HUMAN_F01,fertile
99,28.46,4.37,18.3,0.153,0.239,0.643,1.59,7.69,HUMAN_F01,fertile
99,100.64,58.21,83.4,0.578,0.698,0.829,3.39,21.89,HUMAN_F01,fertile
99,21.18,13.22,13.22,0.624,1,0.624,2.29,8.16,HUMAN_F01,fertile
99,2.53,0.63,0.63,0.251,1,0.251,0.82,1.14,HUMAN_F01,fertile
99,117.6,33.85,71.44,0.288,0.474,0.607,1.94,12.4,HUMAN_F01,fertile
99,2.86,0.69,0.69,0.241,1,0.241,0.63,1.66,HUMAN_F01,fertile
99,112.14,32.85,60.99,0.293,0.539,0.544,3.83,17.24,HUMAN_F01,fertile
99,1.72,0.39,0.39,0.229,1,0.229,0.36,1.14,HUMAN_F01,fertile
99,68.71,31.39,44.39,0.457,0.707,0.646,2.78,17.88,HUMAN_F01,fertile
99,1.65,0.93,0.93,0.565,1,0.565,0.17,1.35,HUMAN_F01,fertile
99,40,10.12,10.12,0.253,1,0.253,1.6,7.97,HUMAN_F01,fertile
99,14.75,5.99,14.75,0.406,0.406,1,1.63,6.37,HUMAN_F01,fertile
99,2.34,1.18,1.18,0.502,1,0.502,0.63,0.6,HUMAN_F01,fertile
99,31.87,9.11,11.69,0.286,0.779,0.367,1.43,6.13,HUMAN_F01,fertile
99,2.82,0.67,0.67,0.237,1,0.237,0.46,0.67,HUMAN_F01,fertile
99,117.41,33.35,93.07,0.284,0.358,0.793,3.58,19.09,HUMAN_F01,fertile
99,104.75,30.91,65.85,0.295,0.469,0.629,2.82,20.27,HUMAN_F01,fertile
99,198.02,47.53,113.94,0.24,0.417,0.575,8.01,17.08,HUMAN_F01,fertile
