Type,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,Mouse,Group
99,1.99,0.95,0.95,0.48,1,0.48,0.54,1.46,HUMAN_S01,subfertile
99,1.61,0.06,0.06,0.038,1,0.038,0,0.37,HUMAN_S01,subfertile
99,22.78,7.41,13.55,0.325,0.547,0.595,1.37,9.91,HUMAN_S01,subfertile
99,2.25,0.45,0.45,0.2,1,0.2,0.52,1.31,HUMAN_S01,subfertile
99,24.93,10.17,20.45,0.408,0.497,0.82,1.39,10.23,HUMAN_S01,subfertile
99,23.19,8.15,8.66,0.351,0.941,0.374,2.15,10.15,HUMAN_S01,subfertile
99,1.7,0.68,0.68,0.397,1,0.397,0.33,0.74,HUMAN_S01,subfertile
99,59.09,20,31.09,0.338,0.643,0.526,3.65,15.22,HUMAN_S01,subfertile
99,26.98,9.38,15.58,0.348,0.602,0.578,1.82,7.01,HUMAN_S01,subfertile
99,24.49,5.75,19.64,0.235,0.293,0.802,1.22,7.84,HUMAN_S01,subfertile
99,2.12,0.15,0.15,0.071,1,0.071,0.49,1.47,HUMAN_S01,subfertile
99,19.11,11.37,19.11,0.595,0.595,1,1.68,13.14,HUMAN_S01,subfertile
99,2.95,0.42,0.42,0.141,1,0.141,0.73,1.15,HUMAN_S01,subfertile
99,1.03,0,0,0,0,0,0.35,0.97,HUMAN_S01,subfertile
99,16.15,9.12,16.15,0.565,0.565,1,2.07,7.49,HUMAN_S01,subfertile
99,1.79,0.14,0.14,0.079,1,0.079,0.73,1.42,HUMAN_S01,subfertile
99,24.06,7.56,9.83,0.314,0.769,0.408,1.48,5.93,HUMAN_S01,subfertile
99,48.65,30.65,30.65,0.63,1,0.63,3.51,16.44,HUMAN_S01,subfertile
99,30,9.3,15.54,0.31,0.598,0.518,1.61,11.31,HUMAN_S01,subfertile
99,32.62,20,32.62,0.613,0.613,1,3.28,19.94,HUMAN_S01,subfertile
99,10.94,8.01,10.94,0.732,0.732,1,1.68,11.15,HUMAN_S01,subfertile
99,12.64,7.57,12.64,0.599,0.599,1,1.35,6.59,HUMAN_S01,subfertile
99,42.98,23.1,42.98,0.537,0.537,1,2.75,14.96,HUMAN_S01,subfertile
99,3.34,0.34,0.34,0.103,1,0.103,0.6,0.69,HUMAN_S01,subfertile
99,36.78,8.12,17.93,0.221,0.453,0.488,1.58,9.33,HUMAN_S01,subfertile
99,19.86,7.96,15.54,0.401,0.512,0.783,1.07,10.84,HUMAN_S01,subfertile
99,56.65,39.21,49.81,0.692,0.787,0.879,2.05,11.93,HUMAN_S01,subfertile
99,0.47,0.47,0.47,1,1,1,0.73,0.74,HUMAN_S01,subfertile
99,17.24,8.26,17.24,0.479,0.479,1,1.34,9.61,HUMAN_S01,subfertile
99,1.31,0.27,0.27,0.209,1,0.209,0.7,0.52,HUMAN_S01,subfertile
99,30.02,8.52,17.6,0.284,0.484,0.586,1.23,6.66,HUMAN_S01,subfertile
99,3.86,0.35,0.35,0.091,1,0.091,0.41,1.5,HUMAN_S01,subfertile
99,0.51,0.15,0.15,0.301,1,0.301,0.21,1.3,HUMAN_S01,subfertile
99,23.26,9.8,18.1,0.421,0.541,0.778,0.95,5.54,HUMAN_S01,subfertile
99,59.06,31.44,58.54,0.532,0.537,0.991,1.94,11.91,HUMAN_S01,subfertile
99,162.59,25.16,93.58,0.155,0.269,0.576,7.19,12.98,HUMAN_S01,subfertile
99,2.41,0.59,0.59,0.246,1,0.246,0.73,0.99,HUMAN_S01,subfertile
99,22.5,6.22,17.33,0.276,0.359,0.77,1.93,7.49,HUMAN_S01,subfertile
99,42.94,20,36.28,0.466,0.551,0.845,3.31,14.25,HUMAN_S01,subfertile
99,2.3,0.35,0.35,0.15,1,0.15,0.36,1.7,HUMAN_S01,subfertile
99,68.37,20,36.86,0.293,0.543,0.539,2.11,17.65,HUMAN_S01,subfertile
99,1.53,1.13,1.13,0.737,1,0.737,0.75,1.35,HUMAN_S01,subfertile
99,2.05,0.1,0.1,0.047,1,0.047,0.65,1,HUMAN_S01,subfertile
99,2.01,0.43,0.43,0.216,1,0.216,0.6,0.82,HUMAN_S01,subfertile
99,1.34,0.56,0.56,0.417,1,0.417,0.57,0.05,HUMAN_S01,subfertile
99,27.18,6.58,10.71,0.242,0.614,0.394,1.31,6.21,HUMAN_S01,subfertile
99,1.95,0.28,0.28,0.142,1,0.142,0.5,1.19,HUMAN_S01,subfertile
99,2.48,0.82,0.82,0.329,1,0.329,0.58,0.49,HUMAN_S01,subfertile
99,1.31,0.77,0.77,0.591,1,0.591,0.72,0.21,HUMAN_S01,subfertile
99,33.63,7.06,15,0.21,0.471,0.446,1.54,9.21,HUMAN_S01,subfertile
99,185.24,63.15,102.14,0.341,0.618,0.551,10.34,17.97,HUMAN_S01,subfertile
99,3.44,0.27,0.27,0.079,1,0.079,0.74,0.52,HUMAN_S01,subfertile
99,24.76,6.33,19.17,0.256,0.33,0.774,1.36,6.17,HUMAN_S01,subfertile
99,18.47,13.28,13.28,0.719,1,0.719,1.38,9.11,HUMAN_S01,subfertile
99,51.3,20,27.15,0.39,0.737,0.529,1.35,14.17,HUMAN_S01,subfertile
99,2.76,0.22,0.22,0.078,1,0.078,0.43,0.78,HUMAN_S01,subfertile
99,2.45,0.7,0.7,0.288,1,0.288,0.32,1.69,HUMAN_S01,subfertile
99,1.61,0.46,0.46,0.288,1,0.288,0.21,1.03,HUMAN_S01,subfertile
99,0.9,0.79,0.79,0.874,1,0.874,0.47,0.59,HUMAN_S01,subfertile
99,3.46,0.78,0.78,0.226,1,0.226,0.31,1.49,HUMAN_S01,subfertile
99,1.45,0.64,0.64,0.444,1,0.444,0.79,0.3,HUMAN_S01,subfertile
99,19.95,8.44,19.95,0.423,0.423,1,1.66,5.56,HUMAN_S01,subfertile
99,41.12,28.54,30.43,0.694,0.938,0.74,4.18,13.09,HUMAN_S01,subfertile
99,69.73,20,57.91,0.287,0.345,0.83,2.23,11.76,HUMAN_S01,subfertile
99,2.8,0,0,0,0,0,0.63,0.44,HUMAN_S01,subfertile
99,2.09,0.45,0.45,0.218,1,0.218,0.58,1.64,HUMAN_S01,subfertile
99,0,0,0,0,0,0,0.46,1.03,HUMAN_S01,subfertile
99,0.81,0,0,0,0,0,0.5,0.78,HUMAN_S01,subfertile
99,1.33,0.86,0.86,0.642,1,0.642,0.4,0.99,HUMAN_S01,subfertile
99,2.18,0.64,0.64,0.293,1,0.293,0.85,1.53,HUMAN_S01,subfertile
99,1.52,0.66,0.66,0.438,1,0.438,0.53,0.65,HUMAN_S01,subfertile
99,1.84,0.81,0.81,0.441,1,0.441,0.31,0.09,HUMAN_S01,subfertile
99,1.28,0.42,0.42,0.325,1,0.325,0.32,1.09,HUMAN_S01,subfertile
99,2,0.11,0.11,0.057,1,0.057,0.5,1.03,HUMAN_S01,subfertile
99,38.2,6.43,12.52,0.168,0.513,0.328,1.13,9.8,HUMAN_S01,subfertile
99,1.26,0.24,0.24,0.188,1,0.188,0.54,1.06,HUMAN_S01,subfertile
99,3.18,0.11,0.11,0.033,1,0.033,0.52,0,HUMAN_S01,subfertile
99,65.06,20,52.54,0.307,0.381,0.808,1.55,12.25,HUMAN_S01,subfertile
99,197.08,73.02,114.79,0.37,0.636,0.582,10.42,12.6,HUMAN_S01,subfertile
99,2.63,0.49,0.49,0.186,1,0.186,0.41,0.68,HUMAN_S01,subfertile
99,2.45,0.08,0.08,0.034,1,0.034,0.63,0.42,HUMAN_S01,subfertile
99,76.38,46.07,46.07,0.603,1,0.603,3.2,16.01,HUMAN_S01,subfertile
99,3.38,0.42,0.42,0.123,1,0.123,0.52,0.9,HUMAN_S01,subfertile
99,38.03,38.03,38.03,1,1,1,3.14,13.81,HUMAN_S01,subfertile
99,2.85,0.29,0.29,0.102,1,0.102,0.74,0.8,HUMAN_S01,subfertile
99,25.19,4.3,11.24,0.171,0.383,0.446,1.63,8.63,HUMAN_S01,subfertile
99,1.7,0.22,0.22,0.131,1,0.131,0.2,1.32,HUMAN_S01,subfertile
99,23.49,6.05,23.49,0.258,0.258,1,1.51,7.17,HUMAN_S01,subfertile
99,2.22,0.38,0.38,0.17,1,0.17,0.66,1.68,HUMAN_S01,subfertile
99,3.05,0.8,0.8,0.264,1,0.264,0.34,0.44,HUMAN_S01,subfertile
99,3.53,0.31,0.31,0.087,1,0.087,0.41,0.8,HUMAN_S01,subfertile
99,43.77,42.59,42.59,0.973,1,0.973,3.75,12.38,HUMAN_S01,subfertile
99,3.3,0.6,0.6,0.183,1,0.183,0.35,0.34,HUMAN_S01,subfertile
99,23.56,6.15,19.61,0.261,0.314,0.833,1.51,14.37,HUMAN_S01,subfertile
99,1.2,0.06,0.06,0.052,1,0.052,0.47,0.83,HUMAN_S01,subfertile
99,2.07,0.4,0.4,0.191,1,0.191,0.64,0.61,HUMAN_S01,subfertile
99,2.62,0.31,0.31,0.118,1,0.118,0.63,1.7,HUMAN_S01,subfertile
99,3.9,0,0,0,0,0,0.85,0.04,HUMAN_S01,subfertile
99,0.72,0,0,0,0,0,0.38,0.67,HUMAN_S01,subfertile
99,2.49,0.52,0.52,0.209,1,0.209,0.31,1.5,HUMAN_S01,subfertile
99,20,20,20,1,1,1,2.28,7.08,HUMAN_S01,subfertile
99,3.17,0.25,0.25,0.079,1,0.079,0.29,0.02,HUMAN_S01,subfertile
99,19.68,11.22,11.57,0.57,0.97,0.588,2,10.19,HUMAN_S01,subfertile
99,2.4,0.79,0.79,0.331,1,0.331,0.47,0.37,HUMAN_S01,subfertile
99,57.15,44.86,56.57,0.785,0.793,0.99,3.26,13.2,HUMAN_S01,subfertile
99,24.5,9.85,14.61,0.402,0.674,0.596,0.96,9.96,HUMAN_S01,subfertile
99,30.95,7.27,12.79,0.235,0.568,0.413,1.47,11.15,HUMAN_S01,subfertile
99,28.03,3.27,11.26,0.117,0.29,0.402,1.82,8.51,HUMAN_S01,subfertile
99,44.94,20,27.37,0.445,0.731,0.609,2.4,13.73,HUMAN_S01,subfertile
99,194.91,52.33,108.96,0.268,0.48,0.559,8.9,11.63,HUMAN_S01,subfertile
99,2.07,0.55,0.55,0.266,1,0.266,0.39,1.36,HUMAN_S01,subfertile
99,1.98,0.63,0.63,0.319,1,0.319,0.38,0.93,HUMAN_S01,subfertile
99,17.66,6.65,15.28,0.377,0.435,0.865,1.9,7.48,HUMAN_S01,subfertile
99,92.77,23.74,67.07,0.256,0.354,0.723,3.16,16.43,HUMAN_S01,subfertile
99,47.18,20,33.28,0.424,0.601,0.705,2.74,18.15,HUMAN_S01,subfertile
99,2.11,0.63,0.63,0.301,1,0.301,0.41,2.08,HUMAN_S01,subfertile
99,1.41,0.25,0.25,0.176,1,0.176,0.78,1.89,HUMAN_S01,subfertile
99,1.73,0.54,0.54,0.312,1,0.312,0.26,0.89,HUMAN_S01,subfertile
99,1.28,0.29,0.29,0.224,1,0.224,0.44,0.63,HUMAN_S01,subfertile
99,56.23,40.88,47.75,0.727,0.856,0.849,1.01,12.15,HUMAN_S01,subfertile
99,19.75,3.49,18.57,0.177,0.188,0.94,1.17,6.63,HUMAN_S01,subfertile
99,69.04,24.13,54.13,0.35,0.446,0.784,2.73,12.95,HUMAN_S01,subfertile
99,37.89,32.88,36.54,0.868,0.9,0.964,2.13,12.72,HUMAN_S01,subfertile
99,25.21,3.45,6.06,0.137,0.569,0.24,1.08,10.46,HUMAN_S01,subfertile
99,29.99,5.39,18.3,0.18,0.295,0.61,1.78,7.55,HUMAN_S01,subfertile
99,1.95,0.5,0.5,0.254,1,0.254,0.47,1.13,HUMAN_S01,subfertile
99,2.34,0.97,0.97,0.413,1,0.413,0.39,0.48,HUMAN_S01,subfertile
99,36.11,4.98,17.97,0.138,0.277,0.498,2.56,9.14,HUMAN_S01,subfertile
99,65.75,22.13,47.47,0.337,0.466,0.722,2.91,16.25,HUMAN_S01,subfertile
99,1.1,0.47,0.47,0.432,1,0.432,0.67,1.94,HUMAN_S01,subfertile
99,2.4,0.44,0.44,0.182,1,0.182,0.41,0.93,HUMAN_S01,subfertile
99,1.72,0.48,0.48,0.279,1,0.279,0.43,0.57,HUMAN_S01,subfertile
99,25.05,8.03,18.75,0.32,0.428,0.748,1.97,5.63,HUMAN_S01,subfertile
99,26.13,9.28,18.91,0.355,0.491,0.724,1.65,6.03,HUMAN_S01,subfertile
99,1.33,0.47,0.47,0.353,1,0.353,0.19,1.06,HUMAN_S01,subfertile
99,24.49,9.09,16.59,0.371,0.548,0.678,1.11,8.25,HUMAN_S01,subfertile
99,66.58,28.18,51.15,0.423,0.551,0.768,2.35,17.17,HUMAN_S01,subfertile
99,1.06,0.31,0.31,0.294,1,0.294,0.41,1.18,HUMAN_S01,subfertile
99,1.79,0.59,0.59,0.329,1,0.329,0.38,1.41,HUMAN_S01,subfertile
99,90.8,44.1,75.7,0.486,0.583,0.834,2.64,15.92,HUMAN_S01,subfertile
