VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,Mouse,Group,tSNE1,tSNE2,Cluster
119.23,88.27,114.63,0.740,0.770,0.961,5.27,3.83,WT_01,WT,-2.678,-1.726,0
125.96,70.52,111.84,0.560,0.631,0.888,4.67,8.33,WT_01,WT,-1.626,0.528,1
118.67,81.77,118.67,0.689,0.689,1.000,1.56,6.95,WT_01,WT,-1.797,1.831,2
135.09,92.74,98.14,0.686,0.945,0.726,2.74,6.38,WT_01,WT,-0.420,-1.472,0
93.48,92.08,92.36,0.985,0.997,0.988,5.55,5.75,WT_01,WT,-2.327,-2.923,1
115.84,93.26,93.26,0.805,1.000,0.805,4.22,11.74,WT_01,WT,-4.422,0.102,2
104.69,102.92,102.92,0.983,1.000,0.983,2.16,5.34,WT_01,WT,0.304,-3.959,0
118.23,81.83,103.88,0.692,0.788,0.879,3.18,10.69,WT_01,WT,-2.507,-3.916,1
142.05,85.50,116.47,0.602,0.734,0.820,3.23,9.89,WT_01,WT,-2.907,1.111,2
78.55,78.55,78.55,1.000,1.000,1.000,3.57,12.02,WT_01,WT,-3.100,-1.709,0
161.95,90.48,121.40,0.559,0.745,0.750,3.21,10.63,WT_01,WT,-2.373,-1.937,1
95.54,61.81,77.03,0.647,0.802,0.806,3.86,10.97,WT_01,WT,-2.556,1.039,2
128.47,67.48,86.74,0.525,0.778,0.675,3.44,13.21,WT_01,WT,-1.930,-1.668,0
113.56,110.72,113.56,0.975,0.975,1.000,2.49,9.70,WT_01,WT,-3.771,-2.664,1
86.23,72.92,72.92,0.846,1.000,0.846,3.25,9.14,WT_01,WT,-2.790,0.818,2
95.46,60.43,73.42,0.633,0.823,0.769,2.25,14.44,WT_01,WT,-1.210,-0.902,0
141.16,51.05,99.39,0.362,0.514,0.704,3.02,6.54,WT_01,WT,-1.334,-1.067,1
134.44,77.80,109.35,0.579,0.711,0.813,4.83,7.45,WT_01,WT,-2.625,-1.467,2
111.90,99.76,99.76,0.892,1.000,0.892,2.60,10.29,WT_01,WT,-3.171,-0.404,0
97.52,97.46,97.52,0.999,0.999,1.000,1.19,7.86,WT_01,WT,1.457,-2.468,1
155.56,70.71,119.54,0.455,0.592,0.768,2.06,8.63,WT_01,WT,-0.224,3.746,2
120.28,89.65,102.96,0.745,0.871,0.856,2.69,9.91,WT_01,WT,-1.983,-1.688,0
110.26,90.17,91.23,0.818,0.988,0.827,2.52,8.67,WT_01,WT,-0.577,-0.947,1
129.39,85.63,96.99,0.662,0.883,0.750,3.03,9.44,WT_01,WT,0.415,-0.433,2
171.44,82.14,112.44,0.479,0.731,0.656,2.58,7.65,WT_01,WT,-1.291,-2.083,0
119.24,82.95,102.01,0.696,0.813,0.856,0.62,8.27,WT_01,WT,-2.348,-2.374,1
157.94,68.08,124.85,0.431,0.545,0.790,3.30,7.36,WT_01,WT,-3.616,1.982,2
118.25,72.78,97.76,0.616,0.745,0.827,4.10,11.02,WT_01,WT,-0.760,-1.452,0
116.75,99.15,99.15,0.849,1.000,0.849,3.46,8.06,WT_01,WT,0.100,-0.909,1
112.19,86.10,112.19,0.767,0.767,1.000,3.90,10.47,WT_01,WT,-0.788,3.353,2
96.63,68.28,70.62,0.707,0.967,0.731,0.71,12.30,WT_01,WT,-3.425,-2.307,0
120.51,77.75,101.93,0.645,0.763,0.846,5.16,10.79,WT_01,WT,-2.042,-0.359,1
88.52,64.35,69.66,0.727,0.924,0.787,0.50,5.91,WT_01,WT,-1.870,-0.471,2
122.02,88.12,107.96,0.722,0.816,0.885,4.79,6.40,WT_01,WT,-1.889,-1.229,0
97.95,65.19,87.32,0.666,0.747,0.891,2.65,7.87,WT_01,WT,1.273,-2.911,1
147.86,81.50,132.93,0.551,0.613,0.899,3.30,7.08,WT_01,WT,-3.482,0.557,2
139.75,92.70,108.89,0.663,0.851,0.779,3.03,4.93,WT_01,WT,-1.753,-2.896,0
98.80,62.43,76.19,0.632,0.819,0.771,0.94,7.79,WT_01,WT,-1.794,-1.163,1
147.60,61.26,93.72,0.415,0.654,0.635,1.62,9.14,WT_01,WT,-4.013,0.837,2
166.17,80.00,126.48,0.481,0.633,0.761,0.50,11.25,WT_01,WT,-1.175,0.136,0
147.90,93.45,126.03,0.632,0.741,0.852,4.68,10.23,WT_01,WT,-3.275,-2.177,1
90.11,75.74,75.74,0.841,1.000,0.841,4.08,9.50,WT_01,WT,-0.490,1.237,2
168.51,82.41,137.95,0.489,0.597,0.819,5.22,7.58,WT_01,WT,-3.462,-2.263,0
103.09,96.70,103.09,0.938,0.938,1.000,3.21,7.50,WT_01,WT,-3.370,-3.275,1
102.85,96.15,96.15,0.935,1.000,0.935,1.05,9.02,WT_01,WT,-0.400,1.873,2
117.02,67.55,67.55,0.577,1.000,0.577,3.71,7.92,WT_01,WT,-2.032,-2.511,0
123.73,85.27,109.56,0.689,0.778,0.885,3.35,6.70,WT_01,WT,-0.874,-3.852,1
120.56,54.37,84.18,0.451,0.646,0.698,2.19,7.40,WT_01,WT,-2.172,4.899,2
131.42,61.70,107.88,0.469,0.572,0.821,4.00,9.69,WT_01,WT,-2.445,0.112,0
99.75,69.11,99.75,0.693,0.693,1.000,2.59,10.65,WT_01,WT,-0.697,-2.304,1
129.78,57.35,101.10,0.442,0.567,0.779,1.69,8.59,WT_01,WT,-1.759,3.257,2
130.73,74.55,108.74,0.570,0.686,0.832,1.72,10.25,WT_01,WT,-1.773,-1.841,0
89.52,53.60,59.53,0.599,0.900,0.665,0.86,7.55,WT_01,WT,0.702,-2.686,1
115.05,58.04,78.68,0.504,0.738,0.684,4.32,6.28,WT_01,WT,-0.047,3.159,2
113.76,76.71,88.84,0.674,0.864,0.781,2.00,5.18,WT_01,WT,-0.662,0.383,0
138.64,74.41,124.79,0.537,0.596,0.900,1.04,13.16,WT_01,WT,-2.530,-1.897,1
96.32,67.22,76.93,0.698,0.874,0.799,3.48,6.85,WT_01,WT,-2.427,1.469,2
128.63,97.34,125.09,0.757,0.778,0.972,4.16,7.55,WT_01,WT,-2.428,-0.885,0
105.31,63.76,79.84,0.605,0.799,0.758,2.87,11.73,WT_01,WT,-3.558,-1.480,1
50.11,50.11,50.11,1.000,1.000,1.000,2.50,10.31,WT_01,WT,-3.119,2.820,2
113.95,94.33,94.33,0.828,1.000,0.828,2.16,9.42,WT_01,WT,-2.001,-1.811,0
83.92,83.92,83.92,1.000,1.000,1.000,1.85,11.58,WT_01,WT,-2.247,-1.342,1
83.82,76.03,76.57,0.907,0.993,0.913,1.96,7.92,WT_01,WT,-4.095,1.129,2
139.71,91.89,106.77,0.658,0.861,0.764,4.23,8.36,WT_01,WT,-3.080,-1.986,0
116.33,73.38,84.86,0.631,0.865,0.730,3.15,10.64,WT_01,WT,-2.464,-3.584,1
95.58,84.90,84.90,0.888,1.000,0.888,2.32,12.91,WT_01,WT,-2.378,1.418,2
122.49,54.33,88.69,0.444,0.613,0.724,0.50,8.63,WT_01,WT,-2.275,-2.738,0
101.82,82.58,89.75,0.811,0.920,0.882,2.80,12.75,WT_01,WT,-2.368,-3.034,1
163.91,76.87,124.59,0.469,0.617,0.760,4.48,8.68,WT_01,WT,-2.990,0.674,2
113.91,70.92,103.24,0.623,0.687,0.906,1.37,7.04,WT_01,WT,-0.415,-1.930,0
123.95,59.99,91.02,0.484,0.659,0.734,5.48,8.14,WT_01,WT,-3.641,-2.681,1
154.06,62.19,118.98,0.404,0.523,0.772,1.76,9.37,WT_01,WT,0.335,1.595,2
106.84,67.29,91.41,0.630,0.736,0.856,2.84,8.82,WT_01,WT,-2.269,-1.062,0
114.58,98.37,98.37,0.859,1.000,0.859,1.31,8.30,WT_01,WT,-3.213,-4.026,1
158.78,57.51,94.82,0.362,0.607,0.597,3.98,9.23,WT_01,WT,-3.838,4.556,2
146.10,76.32,116.22,0.522,0.657,0.796,4.87,12.66,WT_01,WT,-0.739,-1.787,0
125.57,86.14,108.89,0.686,0.791,0.867,4.25,8.85,WT_01,WT,-3.507,-1.752,1
149.74,72.42,109.53,0.484,0.661,0.731,3.21,7.72,WT_01,WT,-3.755,1.352,2
117.31,86.16,95.08,0.734,0.906,0.811,3.82,8.40,WT_01,WT,-1.508,-3.228,0
148.32,80.77,120.69,0.545,0.669,0.814,2.74,11.16,WT_01,WT,-2.126,-3.165,1
144.94,87.84,116.39,0.606,0.755,0.803,3.57,7.22,WT_01,WT,-0.287,0.895,2
96.02,59.99,66.59,0.625,0.901,0.693,3.08,9.95,WT_01,WT,-1.924,-1.078,0
115.36,105.09,111.51,0.911,0.942,0.967,1.90,6.85,WT_01,WT,-1.421,-2.088,1
