CASA Measurement Report
Sample Name,WT_mouse1
Analysis Date,2026-07-14
Frame Rate,60 fps

番号,種別,座標数,曲線速度[µm/秒],直線速度[µm/秒],平均速度[µm/秒],直線性,直進性,曲線性,頭部振幅[µm],頭部振動数[Hz]
1,99,63,179.8,96.8,142.5,0.558,0.679,0.793,2.31,10.2
2,99,62,159.9,112.5,124.3,0.650,0.905,0.777,3.60,13.3
3,99,56,206.8,134.4,162.5,0.645,0.827,0.786,3.15,14.9
4,99,59,149.2,85.1,112.9,0.546,0.753,0.757,3.99,14.2
5,99,63,219.9,196.0,218.5,0.858,0.897,0.994,3.63,12.8
6,99,59,205.1,154.7,164.6,0.796,0.939,0.803,3.33,16.6
7,99,68,208.8,99.9,159.0,0.506,0.628,0.761,3.13,13.7
8,99,65,182.9,106.1,134.5,0.618,0.789,0.736,3.24,14.6
9,99,67,179.9,120.0,153.4,0.676,0.782,0.853,3.51,13.0
10,99,58,155.6,110.9,131.3,0.667,0.844,0.844,4.12,12.7
11,99,59,161.3,97.1,132.2,0.662,0.735,0.820,2.98,16.0
12,99,47,162.6,97.5,119.8,0.633,0.814,0.737,2.94,13.3
13,99,63,160.1,103.7,129.6,0.640,0.800,0.809,4.62,18.9
14,99,62,217.6,106.2,143.6,0.489,0.739,0.660,4.05,11.1
15,99,66,191.4,108.0,142.7,0.539,0.756,0.746,4.15,19.1
16,99,49,175.6,108.9,127.0,0.584,0.857,0.723,4.43,14.6
17,99,58,184.9,96.4,122.0,0.560,0.791,0.660,3.50,18.2
18,99,58,217.2,116.3,177.8,0.543,0.654,0.819,2.64,14.8
19,99,49,180.7,97.3,126.2,0.532,0.772,0.698,1.99,17.5
20,99,43,177.7,141.2,152.9,0.799,0.924,0.860,4.04,18.1
21,99,61,165.7,119.6,122.3,0.684,0.978,0.738,4.60,10.1
22,99,65,204.4,143.7,160.6,0.699,0.895,0.786,3.94,11.3
23,99,70,194.6,96.0,147.4,0.543,0.651,0.757,2.94,13.4
24,99,63,185.6,119.9,131.0,0.655,0.915,0.706,3.88,12.8
25,99,64,191.0,117.9,154.1,0.603,0.765,0.807,3.06,19.3
26,99,64,211.7,154.9,184.0,0.694,0.842,0.869,2.89,11.0
27,99,61,217.9,90.9,142.8,0.467,0.637,0.655,3.47,16.3
28,99,67,236.0,185.2,199.0,0.747,0.931,0.843,3.54,16.1
29,99,81,197.1,125.0,145.1,0.593,0.862,0.736,2.72,11.0
30,99,66,225.0,97.7,153.4,0.415,0.637,0.682,3.40,17.2
31,99,69,191.8,110.5,146.9,0.575,0.752,0.766,2.34,15.2
32,99,64,143.5,92.7,111.6,0.636,0.830,0.778,2.67,12.4
33,99,69,208.8,118.9,170.5,0.573,0.698,0.816,2.27,13.2
34,99,49,152.3,70.7,100.5,0.469,0.704,0.660,4.58,13.9
35,99,56,192.4,116.7,152.7,0.621,0.764,0.794,3.64,14.3
36,99,56,194.2,153.2,166.5,0.768,0.920,0.857,2.20,9.7
37,99,53,185.4,88.2,126.4,0.494,0.698,0.682,2.44,15.6
38,99,60,237.4,154.5,177.8,0.651,0.869,0.749,1.95,12.9
39,99,52,178.2,125.8,153.5,0.670,0.820,0.861,2.21,12.1
40,99,62,171.5,61.3,118.5,0.360,0.517,0.691,3.78,11.2
41,99,56,196.5,120.9,151.4,0.586,0.799,0.770,2.37,10.5
42,99,56,182.7,105.0,127.0,0.559,0.827,0.695,3.52,9.6
43,99,59,233.1,117.5,148.4,0.509,0.792,0.637,3.02,15.4
44,99,59,185.9,112.4,142.2,0.595,0.791,0.765,3.17,13.8
45,99,54,183.3,131.2,150.8,0.684,0.870,0.823,3.37,18.4
46,99,56,166.6,115.5,129.3,0.736,0.894,0.776,3.74,13.4
47,99,56,178.6,132.0,139.0,0.724,0.949,0.779,2.52,9.0
48,99,69,183.7,123.3,137.2,0.714,0.899,0.747,2.85,11.9
49,99,73,153.3,107.0,136.7,0.652,0.782,0.892,2.46,16.9
50,99,53,192.1,118.7,156.1,0.633,0.760,0.813,3.73,9.7
51,99,63,173.7,103.0,127.6,0.606,0.807,0.735,2.92,11.0
52,99,69,188.0,118.6,141.5,0.654,0.838,0.753,2.23,16.1
53,99,65,166.0,103.0,125.6,0.620,0.820,0.757,3.08,11.0
54,99,59,216.5,142.9,158.0,0.705,0.905,0.730,3.98,16.4
55,99,55,177.2,90.4,116.1,0.535,0.779,0.655,3.45,13.2
56,99,56,202.8,114.2,137.9,0.624,0.828,0.680,2.96,10.6
57,99,53,203.2,100.2,145.1,0.507,0.690,0.714,3.08,14.4
58,99,59,207.5,129.4,162.6,0.615,0.796,0.784,2.85,16.1
59,99,53,188.9,117.2,141.1,0.657,0.830,0.747,3.27,11.6
60,99,66,201.1,148.6,148.6,0.755,1.000,0.739,3.09,11.2
61,99,64,251.2,170.1,188.0,0.715,0.905,0.748,3.63,13.6
62,99,75,172.0,90.2,117.3,0.506,0.769,0.682,2.57,15.8
